CATEGORIA	NOMBRE_LIBRO	UM	VU_LIBRO	MATCH_IDU	UM_IDU	VU_IDU	RATIO	PUNTAJE	BANDERA
SUMINISTRO RED DE ALCANTARILLADO PVC	Tubería NOVALOC 60"	ML	3580389					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (0-1,5)m	ML	283197.659320344					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (1,5-2,5)m	ML	539250.453178088					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (2,5-3,5)m	ML	832557.383336259					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (3,5-4,5)m	ML	1757702.48243337					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (4,5-5,5)m	ML	2188284.0878249					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (5,5-6,5)m	ML	2618865.69321643					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (6,5-7,5)m	ML	3049447.29860796					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (7,5-8,5)m	ML	3480028.90399949					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (8,5-9,5)m	ML	3910610.50939102					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 4" Hex (9,5-10,5)m	ML	4341192.11478255					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (0-1,5)m	ML	315199.052319491					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (1,5-2,5)m	ML	568216.494324524					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (2,5-3,5)m	ML	861669.599279279					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (3,5-4,5)m	ML	1786960.87317298					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (4,5-5,5)m	ML	2217542.47856451					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (5,5-6,5)m	ML	2648124.08395604					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (6,5-7,5)m	ML	3078705.68934757					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (7,5-8,5)m	ML	3509287.2947391					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (8,5-9,5)m	ML	3939868.90013063					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 6" Hex (9,5-10,5)m	ML	4370450.50552215					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (0-1,5)m	ML	344538.431876397					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (1,5-2,5)m	ML	594366.205820989					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (2,5-3,5)m	ML	887965.485572329					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (3,5-4,5)m	ML	1813402.93426261					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (4,5-5,5)m	ML	2243984.53965414					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (5,5-6,5)m	ML	2674566.14504567					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (6,5-7,5)m	ML	3105147.7504372					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (7,5-8,5)m	ML	3535729.35582873					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (8,5-9,5)m	ML	3966310.96122026					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 8" Hex (9,5-10,5)m	ML	4396892.56661179					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (0-1,5)m	ML	383216.061558182					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (1,5-2,5)m	ML	629699.851234602					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (2,5-3,5)m	ML	923445.305782525					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (3,5-4,5)m	ML	1849028.92926939					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (4,5-5,5)m	ML	2279610.53466092					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (5,5-6,5)m	ML	2710192.14005245					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (6,5-7,5)m	ML	3140773.74544398					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (7,5-8,5)m	ML	3571355.35083551					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (8,5-9,5)m	ML	4001936.95622704					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 10" Hex (9,5-10,5)m	ML	4432518.56161857	TUBERÍA HDPE 10" (SUMINISTRO E INSTALACIÓN)	ML	280316	15.81	0.6	caro frente a IDU
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (0-1,5)m	ML	432473.62022382					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (1,5-2,5)m	ML	675459.109424337					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (2,5-3,5)m	ML	969350.738768845					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (3,5-4,5)m	ML	1895080.5370523					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (4,5-5,5)m	ML	2325662.14244383					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (5,5-6,5)m	ML	2756243.74783536					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (6,5-7,5)m	ML	3186825.35322688					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (7,5-8,5)m	ML	3617406.95861841					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (8,5-9,5)m	ML	4047988.56400994					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 12" Hex (9,5-10,5)m	ML	4478570.16940147					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (0-1,5)m	ML	512339.443065156					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (1,5-2,5)m	ML	745382.989170329					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (2,5-3,5)m	ML	1039420.79331142					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (3,5-4,5)m	ML	1965296.76639146					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (4,5-5,5)m	ML	2395878.37178299					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (5,5-6,5)m	ML	2826459.97717451					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (6,5-7,5)m	ML	3257041.58256604					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (7,5-8,5)m	ML	3687623.18795757					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (8,5-9,5)m	ML	4118204.7933491					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 14" Hex (9,5-10,5)m	ML	4548786.39874063					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (0-1,5)m	ML	591188.830011813					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (1,5-2,5)m	ML	832018.456495021					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (2,5-3,5)m	ML	1148693.74157314					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (3,5-4,5)m	ML	2041834.76305192					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (4,5-5,5)m	ML	2479910.91275104					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (5,5-6,5)m	ML	2917987.06245016					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (6,5-7,5)m	ML	3356063.21214928					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (7,5-8,5)m	ML	3794139.3618484					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (8,5-9,5)m	ML	4232215.51154752					0.44	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 16" Hex (9,5-10,5)m	ML	4670291.66124664					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (0-1,5)m	ML	679041.848544405					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (1,5-2,5)m	ML	919446.357699748					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (2,5-3,5)m	ML	1243823.26804728					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (3,5-4,5)m	ML	2144458.83383365					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (4,5-5,5)m	ML	2590029.52784036					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (5,5-6,5)m	ML	3035600.22184708					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (6,5-7,5)m	ML	3481170.91585379					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (7,5-8,5)m	ML	3926741.6098605					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (8,5-9,5)m	ML	4372312.30386721					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 18" Hex (9,5-10,5)m	ML	4817882.99787392					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (0-1,5)m	ML	790719.755778866					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (1,5-2,5)m	ML	1030104.7618226					0.33	sin referencia
