75	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro y construcción de contenedor de raíces Tipo B (1,50x2,20)m	UN
76	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro y construcción de contenedor de raíces Tipo C (1,20x2,20)m	UN
77	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro y construcción de contenedor de raíces Tipo D (0,84x4,20)m	UN
78	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro y construcción de contenedor de raíces Tipo E (0,70x4,20)m	UN
79	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > ANDENES > Mobiliario	Suministro y construcción de contenedor de raíces Tipo F (0,70x4,20)m	UN
82	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Descapote y nivelación subrasante	Compactación de subrasante (Incluye nivelación)	M2
83	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Descapote y nivelación subrasante	Descapote mecánico de material vegetal (Incluye cargue y retiro externo)	M2
85	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Acabados	Grano de caucho reciclado	M3
86	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Acabados	Transporte de equipos para asfaltos	VJ
88	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Instalación	M.O. instalación de sardinel prefabricado	ML
90	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Mezclas asfálticas	Suministro y colocación de Emulsión Asfáltica de Rompimiento Lento CRL-1 (Imprimación)	M2
91	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Mezclas asfálticas	Suministro y colocación de Emulsión Asfáltica de Rompimiento rápido CRR-2 (Riego de liga)	M2
92	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Mezclas asfálticas	Suministro, extendida y compactación de Rodadura Asfáltica MDC-19	M3
93	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Mezclas asfálticas	Suministro, extendida y compactación de Capa intermedia asfáltica MDC-25	M3
94	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Mezclas asfálticas	Sardinel prefabricado A-10	UN
96	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Excavaciones y rellenos	Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	M3
97	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Excavaciones y rellenos	Suministro y colocación de recebo B-200	M3
99	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Granulares	Base granular BG	M3
100	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Granulares	Subbase granular SBG (sello subrasante)	M3
101	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Granulares	Subbase granular SBG	M3
102	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Granulares	Geotextil tejido 2400	M2
103	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Granulares	Piedra rajón (mejoramiento subrasante)	M3
105	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > VÍA > Drenaje	Suministro e instalación de filtro tipo francés (Ancho=0,30m. Incluye tubo PVC perforado Ø=4", geotextil, arena lavada + gravilla 1/2" 0,60:0,40)	ML
108	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Descapote y nivelación subrasante	Compactación de subrasante (Incluye nivelación)	M2
109	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Descapote y nivelación subrasante	Descapote mecánico de material vegetal (Incluye cargue y retiro externo)	M2
111	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Acabados	Suministro, extendida y compactación de Rodadura Asfáltica MD-13	M3
112	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Acabados	Transporte de equipos para asfaltos	VJ
113	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Acabados	Bordillo prefabricado A-80	UN
114	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Acabados	Transporte de prefabricados	KG
115	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Acabados	Suministro de cañuela prefabricada	UN
117	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Instalación	M.O. instalación de bordillo prefabricado	ML
118	NO	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Instalación	M.O. instalación de cañuela prefabricada	ML
120	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Excavaciones y rellenos	Excavación mecánica en material común (Incluye cargue, transporte y disposición externa)	M3
121	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Excavaciones y rellenos	Suministro y colocación de recebo B-200	M3
123	SI	ACTIVIDADES POR EJECUTAR > PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA > Granulares	Subbase granular SBG	M3
