== BARRIDO DE PRECIOS CONTRA IDU 2026-I ==
modo: simulacion

A) se alinean al IDU (coincidencia fiable y MISMA unidad) : 186
   efecto en el presupuesto                               : 195499443
B) coincidencia fiable pero UNIDAD DISTINTA (no se tocan)  : 19
C) marcados REVISAR por estar muy lejos del IDU (no se tocan): 227
   efecto si se aplicaran                                 : -10917608070
D) sin referencia IDU utilizable                           : 905

== A) LOS 30 QUE MAS MUEVEN (se aplican) ==
fila	actividad	UM	cantidad	VU libro	VU IDU	delta
705	Suministro tubería PVC flexible Ø8"	UN	411	448152	160366	-118279927	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
1186	Demarcacion cicloruta	ML	366	27500	343674	115719684	REVISAR: MUY POR DEBAJO de IDU	DEMARCACION PICTOGRAMA CICLORUTA EN PINTURA TERMOPLASTICA (E=2.3MM INCLUYE SUMINISTRO Y APLICACIÓN CON EQUIPO, INCLUYE MICROESFERAS. AREA =2MT2).
1167	Excavacion mecanica material	M3	1566.74	79829	5998	-115674859	REVISAR: MUY POR ENCIMA de IDU	EXCAVACIÓN MECÁNICA EN MATERIAL COMÚN (INCLUYE CARGUE)
1282	Suministro de Tubería GRP 48"	ML	54	2366187	438466	-104096924	REVISAR: MUY POR ENCIMA de IDU	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.
1074	Geotextil tejido 2400	M2	12833.74	11840	19656	100302160	ok (vs INSUMO: IDU es solo material)	GEOTEXTIL TEJIDO CON RESISTENCIA A LA TENSION METODO TIRA ANCHA SENTIDO LONGITUDINAL DE 60 KN/M, Y RESISTENCIA A LA TENSION GRAB DE 2400 N
803	CERRAMIENTO POLISOMBRA	M2	3532.24	28000	2147	-91319001	REVISAR: MUY POR ENCIMA de IDU	POLISOMBRA VERDE PARA CERRAMIENTO. (INCLUYE SUMINISTRO E INSTALACION).
708	Suministro tubería PVC flexible Ø14"	UN	98	1411492	641522	-75457026	REVISAR: MUY POR ENCIMA de IDU	TUBERIA PVC D=14" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
804	CARCAMO	ML	46	107400	1445650	61559500	REVISAR: MUY POR DEBAJO de IDU	CARCAMO AGUAS LLUVIAS 0.45 X 0.60 M. (INCLUYE REJILLA) SUMINISTRO E INSTALACIÓN
639	Instalación tubería PVC presión Ø6"	ML	696.44	15251	93174	54268986	REVISAR: MUY POR DEBAJO de IDU	TUBERIA PVC SANITARIA D=6" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
986	Unión de reparación según diámetro	UN	7	3180000	9529408	44445856	REVISAR: MUY POR DEBAJO de IDU	EMPATES DE TUBERÍA EN PVC A HA 12" LINEAL SEGÚN NORMA NS-023 (INCLUYE TUBERIA PVC U.M. D=12" RDE 21=1M; TEE HD EXTREMO LISO 12"X12" =1UN; UNION DRESSER HD D=12"=2UN; UNION REPARACION HD EXTREMO LISO D=12"=1UN; UNION PVC U.M. NORMA NTC 382 D=12"=1UN). SUMINISTRO E INSTALACIÓN
