TOTAL POR EJECUTAR al empezar = 0

1) precios duplicados eliminados: 722
   f424 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f426 (dup de f18)  0  ML UM
   f427 (dup de f419)  0  2611.49376129736 UM
   f428 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f430 (dup de f18)  0  ML UM
   f431 (dup de f423)  0  8845.38209471687 UM
   f432 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f434 (dup de f18)  0  ML UM
   f436 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f438 (dup de f18)  0  ML UM
   f440 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f442 (dup de f18)  0  ML UM
   f443 (dup de f435)  0  3264.3672016217 UM
   f444 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f446 (dup de f18)  0  ML UM
   f447 (dup de f439)  0  10083.7355879772 UM
   f448 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f450 (dup de f18)  0  ML UM
   f452 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f454 (dup de f18)  0  ML UM
   f456 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f458 (dup de f18)  0  ML UM
   f459 (dup de f451)  0  4361.19458136659 UM
   f460 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f462 (dup de f18)  0  ML UM
   f463 (dup de f455)  0  13444.9807839696 UM
   f464 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f466 (dup de f18)  0  ML UM
   f468 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f470 (dup de f18)  0  ML UM
   f472 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f474 (dup de f18)  0  ML UM
   f476 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f478 (dup de f18)  0  ML UM
   f480 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f482 (dup de f6)  0  M2 UM
   f484 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f486 (dup de f6)  0  M2 UM
   f488 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f490 (dup de f6)  0  M2 UM
   f492 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f494 (dup de f6)  0  M2 UM
   f495 (dup de f483)  0  73290.3087847969 UM
   f496 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f498 (dup de f6)  0  M2 UM
   f499 (dup de f491)  0  27799.7722976816 UM
   f500 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f502 (dup de f6)  0  M2 UM
   f503 (dup de f483)  0  73290.3087847969 UM
   f504 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f506 (dup de f6)  0  M2 UM
   f507 (dup de f491)  0  27799.7722976816 UM
   f508 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f510 (dup de f6)  0  M2 UM
   f511 (dup de f483)  0  73290.3087847969 UM
   f512 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f514 (dup de f6)  0  M2 UM
   f515 (dup de f491)  0  27799.7722976816 UM
   f516 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
