NOMBRE_LIBRO	VU_LIBRO	MATCH_IDU	TIPO	UM_IDU	VU_IDU	RATIO	BANDERA
"Suministro tubería PVC flexible Ø27"""	5000000.0	"TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=27"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	874450.0	5.72	REVISAR: MUY POR ENCIMA de IDU
Marco y tapa de pozo	1590000.0	TAPA PARA POZO DE INSPECCIÓN, D=0.70 M. INCLUYE SUMINISTRO E INSTALACIÓN.	APU	UN	284083.0	5.60	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería PVC flexible Ø30"""	5951739.38991858	"TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=30"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	1070516.0	5.56	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería PVC flexible Ø20"""	2900000.0	"TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=20"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	523908.0	5.54	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería PVC flexible Ø16"""	1726406.78612671	"TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=16"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	317101.0	5.44	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería PVC flexible Ø24"""	3983204.5312494	"TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=24"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	732840.0	5.44	REVISAR: MUY POR ENCIMA de IDU
"Suministro de Tubería GRP 48"""	2366186.8125	TUBERIA GRP 300MM (INCLUYE TRANSPORTE). SUMINISTRO E INSTALACION.	APU	ML	438466.0	5.40	REVISAR: MUY POR ENCIMA de IDU
Concreto 3000 psi	560000.0	TALÓN EN CONCRETO DE 3000 PSI (SUMINISTRO E INSTALACIÓN).	APU	ML	107810.0	5.19	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería PVC flexible Ø18"""	2229654.29142004	"TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=18"" (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	430046.0	5.18	REVISAR: MUY POR ENCIMA de IDU
"Tubería PVC 2,1/2"" RDE 21"	183626.516228879	"TUBERIA PVC D=2 1/2"" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)"	APU	ML	36526.0	5.03	REVISAR: MUY POR ENCIMA de IDU
"Acometida domiciliaria Ø1/2"" con collar Ø4"" y cajilla de medidor"	2332000.0	"ACOMETIDA DOMICILIARIA DE 1/2"" CON COLLAR DE DERIVACION DE 4"" X 1/2"". SUMINISTRO E INSTALACION. (INCLUYE TUBERIA PF, REGISTROS Y ACCESORIOS, LONGITUD PROMEDIO DE 6.5M, INCLUYE CAJILLA EN POLIPROPILENO PARA MEDIDOR)"	APU	UN	470326.0	4.96	REVISAR: MUY POR ENCIMA de IDU
"TUBERIA PVC-RDE21 4"""	228893.0	"TUBERIA PVC SANITARIA D=4"" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	46152.0	4.96	REVISAR: MUY POR ENCIMA de IDU
"Empate en tee Ø8"" × Ø6"""	16361100.0	"TEE PVC U.M. 8"" X 6"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	3309710.0	4.94	REVISAR: MUY POR ENCIMA de IDU
"Tapón Ø4"""	522580.0	"TAPON PVC TIPO U.M. D=4"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	109473.0	4.77	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CCR Ø27"""	4720000.0	"TUBERIA CONCRETO D=27"" CL. I REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	991864.0	4.76	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación transformador trifásico tipo aceite 150 kVA, 11,4 kV / 208-120 V	65720000.0	TRANSFORMADOR TIPO PEDESTAL PARA AP DE 150 KVA 11.4/0.208-0.120 KV EN ACEITE VEGETAL (INCLUYE SUMINISTRO E INSTALACIÓN).	APU	UN	14133951.0	4.65	REVISAR: MUY POR ENCIMA de IDU
Válvula ventosa	7420000.0	"VÁLVULA VENTOSA HD COMBINADA TRIPLE ACCIÓN (TRIPLE EFECTO) D=3"" EXTREMO BRIDA CLASE 150 (Suministro e instalacion)"	APU	UN	1614844.0	4.59	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación cono y tapa para pozo de inspección	4383706.73966559	CONO POZO INSPECCIÓN PREFABRICADO D= 1.20M X 0.60M E=0.10M H= 0.75M (INC. SUMINISTRO E INST. NO INC. ARO DE AJUSTE, ARO-TAPA Y TAPA)	APU	UN	959614.0	4.57	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CSR Ø24"""	3700000.0	"TUBERIA CONCRETO D=24"" CL. I REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	817846.0	4.52	REVISAR: MUY POR ENCIMA de IDU
"Hidrante 6"""	15270446.77672	"HIDRANTE EXTREMO BRIDA D=6"" TIPO POSTE (SUMINISTRO E INSTALACIÓN. NO INCLUYE KIT DE NIVELACIÓN)"	APU	UN	3508938.0	4.35	REVISAR: MUY POR ENCIMA de IDU
"Tapón Ø3"""	369940.0	"TAPON PVC TIPO U.M. D=3"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	85764.0	4.31	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CCR Ø36"""	6470000.0	"TUBERIA CONCRETO D=36"" CL. I REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	1512469.0	4.28	REVISAR: MUY POR ENCIMA de IDU
"Tapón 2,1/2"""	135510.113878592	"UNION PVC TIPO U.M. D= 2 1/2"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	32223.0	4.21	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CCR Ø40"""	7620000.0	"TUBERIA CONCRETO D=40"" CL. I REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	1874457.0	4.07	REVISAR: MUY POR ENCIMA de IDU
Cruce ciclorruta por calzada (0,4m x 0,4m) - Pintura acrílica	27799.7722976816	PINTURA ACRILICA DE TRAFICO COLOR BLANCA PARA CUADROS CRUCE CICLORRUTA DE 0.4MT X 0.4MT. SUMINISTRO Y APLICACION.	APU	UN	7329.0	3.79	REVISAR: MUY POR ENCIMA de IDU
Cruce ciclorruta por calzada (Color azul) - Pintura acrílica	27799.7722976816	PINTURA ACRILICA DE TRAFICO COLOR BLANCA PARA CUADROS CRUCE CICLORRUTA DE 0.4MT X 0.4MT. SUMINISTRO Y APLICACION.	APU	UN	7329.0	3.79	REVISAR: MUY POR ENCIMA de IDU
