actividades de nivel 5 leidas: 1456

== A) MISMO NOMBRE (normalizado) CON TEXTO O PRECIO DISTINTO ==
clave	variantes	precios	filas
base granular bg	Base granular BG | base granular BG	251774,33	100,283,302,320,436,455
comision topografica	Comision topografica | COMISION TOPOGRAFICA	12000000	1171,1237
planos record	Planos record | PLANOS RECORD	20000000	1218,1305
subtotal A: 3

== B) FAMILIAS PARECIDAS (mismas 2 primeras palabras) CON PRECIOS DISTINTOS ==
familia	actividad	UM	VU	veces
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4D	%	115374134.61	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4E	%	10913390535.84	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 4F	%	528064742.65	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5	%	351491589	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5A	%	1427427914.61	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5B	%	266776874.69	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5C	%	301431583.46	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5D	%	512579428.99	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5E	%	1099229718.15	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5F	%	330894660.52	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 5G	%	1056202179.71	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 7	%	4088359645.87	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8	%	4146250347.13	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8A	%	1909929188.63	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8B	%	1426172944.99	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8C	%	1308643446.73	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 8D	%	343041214.91	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9	%	694632480.57	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9A	%	1120996984.53	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9B	%	1038040215.43	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9C	%	904201859.64	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9D	%	1177106284.75	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) SUBETAPA 9E	%	0	1
costos gestion	COSTOS GESTION AMBIENTAL (CAR) GENERAL	%	85426423857.6	1
descargue acopio	Descargue y acopio de tubería en concreto	GB	12884.12	1
descargue acopio	Descargue y acopio de tubería	KG	64160.69	1
dren filtro	Dren filtro 100 mm(filtro frances)	ML	80000	3
dren filtro	Dren filtro 200 mm (filtro frances)	ML	110000	4
empate a	Empate a punto de conexión	UN	5000000	5
empate a	Empate a red existente Ø4"	UN	8480000	1
empate a	Empate a red existente Ø6"	UN	10600000	1
empate a	Empate a red existente Ø10"	UN	15900000	1
empate a	Empate a red existente Ø12"	UN	21200000	1
empate a	EMPATE A PUNTO DE CONEXIÓN (INCLUYE UNIONES DE REPARACION Y ACCESORIOS)	GB	50000000	1
empate tee	Empate en tee Ø6" × Ø6"	UN	13389920	1
empate tee	Empate en tee Ø8" × Ø2"	UN	10563960	1
empate tee	Empate en tee Ø8" × Ø6"	UN	16361100	1
entibado continuo	Entibado continuo E-1A, H≤2,00 m	M2	52205	3
entibado continuo	Entibado continuo E-1B, 2,00<H≤3,00 m	M2	95400	3
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 1	%	12700139793.85	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 2	%	3665203923.61	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 3	%	1733118405.57	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 3A	%	195447152.15	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 3B	%	2410679445.07	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4	%	801751985.66	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4A	%	410984926.96	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4B	%	1387833434.34	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4C	%	195223463.77	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4D	%	115374134.61	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4E	%	10913390535.84	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 4F	%	528064742.65	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5	%	351491589	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5A	%	1427427914.61	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5B	%	266776874.69	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5C	%	301431583.46	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5D	%	512579428.99	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5E	%	1099229718.15	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5F	%	330894660.52	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 5G	%	1056202179.71	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 7	%	4088359645.87	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8	%	4146250347.13	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8A	%	1909929188.63	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8B	%	1426172944.99	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8C	%	1308643446.73	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 8D	%	343041214.91	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9	%	694632480.57	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9A	%	1120996984.53	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9B	%	1038040215.43	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9C	%	904201859.64	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9D	%	1177106284.75	1
estudios disenos	ESTUDIOS Y DISEÑOS SUBETAPA 9E	%	0	1
estudios disenos	ESTUDIOS Y DISEÑOS GENERAL	%	85426423857.6	1
excavacion manual	Excavacion manual de vigas cerramiento y zanjas filto perimetral	M3	35000	3
excavacion manual	Excavacion manual de muro contencion con zarpa	M3	35000	3
excavacion manual	Excavación manual para bioswale/bioretenedor	M3	115000	1
excavacion manual	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	224438.33	1
excavacion manual	EXCAVACIÓN MANUAL, INCLUYE RETIRO INTERNO DE ESCOMBROS	M3	30000	1
extendida compactacion	Suministro, extendida y compactación de Rodadura Asfáltica MDC-19	M3	1112765.68	1
extendida compactacion	Suministro, extendida y compactación de Capa intermedia asfáltica MDC-25	M3	1058203.95	1
extendida compactacion	Suministro, extendida y compactación de Rodadura Asfáltica MD-13	M3	1173933.34	1
