NOMBRE	X	Y	ATTS
VALVULA PROY	83552.275	95870.675	NODO=180;DIAMETRO=8;
VALVULA PROY	83312.252	95947.059	NODO=158A;DIAMETRO=8;
VALVULA PROY	82918.483	96007.098	NODO=303;DIAMETRO=6;
VALVULA PROY	82654.175	95692.687	NODO=278A;DIAMETRO=12;
VALVULA PROY	82921.395	95376.3	NODO=392A;DIAMETRO=12;
VALVULA PROY	83233.715	95328.652	NODO=614A;DIAMETRO=12;
VALVULA PROY	83247.076	95350.551	NODO=516A;DIAMETRO=8;
VALVULA PROY	83490.177	95144.066	NODO=493A;DIAMETRO=8;
VALVULA PROY	83627.799	95026.543	NODO=479A;DIAMETRO=12;
VALVULA PROY	83664.807	95324.508	NODO=458A;DIAMETRO=8;
VALVULA PROY	83523.604	95596.65	NODO=51;DIAMETRO=12;
VALVULA PROY	83560.666	95526.643	NODO=445A;DIAMETRO=12;
VALVULA PROY	83122.871	95528.53	NODO=527A;DIAMETRO=8;
VALVULA PROY	82894.125	95568.26	NODO=229A;DIAMETRO=8;
VALVULA PROY	82911.882	95526.187	NODO=380A;DIAMETRO=8;
A Tee	83618.437	95542.122	NODO=440A;DIAM=8x4;
A Tee	83625.739	95587.855	NODO=44A;DIAM=8x4;
A Tee	83549.543	95212.715	NODO=548A;DIAM=8x4;
A Tee	82888.648	95614.065	NODO=227A;DIAM=8x4;
A Tee	82673.089	95723.883	NODO=287A;DIAM=8x4;
A Tee	82834.571	95618.577	NODO=239A;DIAM=12x4;
A Buje	82898.397	95421.507	NODO=368A;DIAM=4x3;
A Codo22.5	82849.798	95659.839	NODO=243;DIAMETRO=8;
A Codo22.5	82830.259	95633.764	NODO=241A;DIAMETRO=8;
A Codo22.5	82834.508	95646.479	NODO=241;DIAMETRO=8;
A Tapon	83276.036	95950.683	NODO=185B;DIAMETRO=4;
A Tee	83274.775	95945.843	NODO=185A;DIAM=8x4;
CODO90	82941.277	95517.455	NODO=399A;DIAM=12;
A Buje	83538.728	95298.725	NODO=543A;DIAM=4x2;
A Buje	83480.668	95347.826	NODO=541A;DIAM=4x2;
A Buje	83412.319	95405.628	NODO=536A;DIAM=4x2;
A Buje	83609.839	95540.259	NODO=435A;DIAM=4x3;
A Buje	83464.714	95537.787	NODO=427A;DIAM=4x2;
A Buje	83374.937	95535.943	NODO=422A;DIAM=4x2;
A Buje	82980.042	95528.498	NODO=404;DIAM=4x2;
A Buje	83156.407	95395.528	NODO=624;DIAM=4x2;
A Buje	82976.439	95337.323	NODO=574A;DIAM=4x3;
A Buje	83099.504	95474.415	NODO=554;DIAM=4x2;
CODO90	83155.342	95956.876	NODO=200;DIAM=6;
A Codo22.5	83549.786	95874.356	NODO=179;DIAM=8;
A Buje	83555.939	95863.799	NODO=95;DIAM=6x8;
A Buje	82730.767	95681.273	NODO=265;DIAM=4x3;
A Buje	82856.206	95587.928	NODO=237A;DIAM=4x3;
A Buje	83590.187	96013.855	NODO=107;DIAM=4x3;
A Codo22.5	83114.872	95216.031	NODO=629;DIAMETRO=8;
A Codo22.5	83117.056	95211.786	NODO=628;DIAMETRO=8;
A Codo22.5	83109.998	95437.611	NODO=626;DIAMETRO=8;
A Tapon	83152.605	95391.165	NODO=625;DIAMETRO=2;
CODO90	83221.854	95333.846	NODO=620;DIAM=8;
A Tapon	83314.483	95263.716	NODO=619;DIAMETRO=12;
A Tapon	83197.045	95281.607	NODO=609;DIAMETRO=3;
A Buje	83195.16	95283.236	NODO=608;DIAM=4x3;
A Tapon	83119.129	95188.649	NODO=605;DIAMETRO=3;
A Buje	83117.243	95190.277	NODO=604;DIAM=4x3;
A Tapon	83150.52	95070.204	NODO=602;DIAMETRO=6;
A Tapon	83078.419	95124.128	NODO=597;DIAMETRO=3;
A Buje	83080.316	95126.429	NODO=596;DIAM=4x3;
A Buje	83072.715	95135.419	NODO=594;DIAM=12x6;
A Tapon	83021.113	95167.444	NODO=589;DIAMETRO=2;
A Buje	83024.358	95171.297	NODO=588;DIAM=4x2;
A Tapon	82976.316	95209.777	NODO=586;DIAMETRO=3;
A Buje	82977.19	95210.836	NODO=585;DIAM=4x3;
A Tapon	82983.562	95346.158	NODO=575;DIAMETRO=3;
A Tapon	82977.501	95325.149	NODO=573;DIAMETRO=2;
A Buje	82979.089	95327.079	NODO=572;DIAM=4x2;
A Tapon	83077.087	95345.647	NODO=561;DIAMETRO=2;
A Tapon	83096.319	95474.67	NODO=555;DIAMETRO=2;
A Codo22.5	83627.417	95304.19	NODO=549;DIAMETRO=8;
A Tapon	83540.299	95300.644	NODO=544;DIAMETRO=2;
A Tapon	83482.234	95349.749	NODO=542;DIAMETRO=2;
A Tapon	83413.875	95407.558	NODO=537;DIAMETRO=2;
A Tapon	83277.761	95326.071	NODO=514;DIAMETRO=2;
A Buje	83275.688	95323.478	NODO=513;DIAM=4x2;
A Buje	83322.713	95281.387	NODO=511;DIAM=12x8;
A Tapon	83334.661	95277.76	NODO=509;DIAMETRO=2;
A Buje	83332.392	95275.025	NODO=508;DIAM=4x2;
A Tapon	83393.685	95227.64	NODO=502;DIAMETRO=2;
A Buje	83391.566	95225.08	NODO=501;DIAM=4x2;
A Tapon	83452.245	95177.916	NODO=499;DIAMETRO=2;
A Buje	83450.101	95175.379	NODO=498;DIAM=4x2;
A Tapon	83535.637	95107.106	NODO=492;DIAMETRO=3;
A Buje	83533.492	95104.569	NODO=491;DIAM=4x3;
