CLASE	NOMBRE_O_TEXTO	X	Y	ROT	CAPA
INSERT	A Hidrante	83685.443	95113.2	4.4611	0
INSERT	Valvula HIDRANTE	83683.611	95113.658	1.3195	0
INSERT	A Hidrante	83593.657	95059.372	5.5794	0
INSERT	Valvula HIDRANTE	83592.444	95057.924	2.4378	0
INSERT	A Hidrante	83484.78	95151.822	5.5794	0
INSERT	Valvula HIDRANTE	83483.567	95150.374	2.4378	0
INSERT	A Hidrante	83366.42	95254.344	5.5794	0
INSERT	Valvula HIDRANTE	83365.207	95252.896	2.4378	0
INSERT	A Hidrante	83235.258	95363.691	5.5794	0
INSERT	Valvula HIDRANTE	83234.045	95362.243	2.4378	0
INSERT	A Hidrante	83193.391	95294.617	0.8571	0
INSERT	Valvula HIDRANTE	83194.827	95293.389	3.9987	0
INSERT	A Hidrante	83010.081	95296.726	2.4575	0
INSERT	Valvula HIDRANTE	83011.284	95298.182	5.5991	0
INSERT	A Hidrante	82923.513	95397.795	4.5103	0
INSERT	Valvula HIDRANTE	82921.66	95398.162	1.3687	0
INSERT	A Hidrante	82669.072	95683.598	3.4855	0
INSERT	Valvula HIDRANTE	82668.424	95685.372	0.3439	0
INSERT	A Hidrante	82941.872	95747.997	3.9894	0
INSERT	Valvula HIDRANTE	82940.448	95749.237	0.8478	0
INSERT	A Tapon	83453.498	95991.904	2.9826	0
INSERT	A Buje	83449.046	95992.657	6.116	0
INSERT	A Tapon	83507.11	96048.181	4.7188	0
INSERT	A Buje	83507.151	96043.026	1.5803	0
INSERT	A Buje	83534.965	95820.883	5.7721	0
INSERT	A Tapon	83536.894	95819.862	2.6314	0
INSERT	A Buje	83335.678	95641.746	6.0832	0
INSERT	A Tapon	83338.564	95641.236	2.9815	0
INSERT	A Buje	83110.583	95623.402	0.1858	0
INSERT	A Tapon	83112.735	95623.834	3.3469	0
INSERT	A Buje	83279.605	95722.698	4.5173	0
INSERT	A Tapon	83279.278	95720.801	1.3969	0
INSERT	A Buje	83128.85	95725.968	5.5548	0
INSERT	A Tapon	83130.213	95724.81	2.4557	0
INSERT	A Buje	83100.094	95589.85	3.3393	0
INSERT	A Tapon	83098.54	95589.513	0.1831	0
INSERT	A Buje	83106.085	95726.9	2.4163	0
INSERT	A Tapon	83102.86	95729.622	5.623	0
INSERT	VENTOSA	83532.02	95817.564	0.6858	VENTOSA-PROY
INSERT	VENTOSA	83616.721	95861.246	0.9918	VENTOSA-PROY
INSERT	VENTOSA	83587.983	96029.417	1.1446	VENTOSA-PROY
INSERT	VENTOSA	82888.648	95614.065	4.1906	VENTOSA-PROY
INSERT	VENTOSA	83625.739	95587.855	2.7015	VENTOSA-PROY
INSERT	VENTOSA	83549.543	95212.715	0.3968	VENTOSA-PROY
INSERT	VENTOSA	83618.437	95542.122	2.6923	VENTOSA-PROY
INSERT	VENTOSA	83664.212	95334.265	1.6109	VENTOSA-PROY
INSERT	VENTOSA	83629.85	95021.348	0.4466	VENTOSA-PROY
INSERT	VENTOSA	83126.803	95090.025	1.982	VENTOSA-PROY
INSERT	VENTOSA	82834.571	95618.577	1.9149	VENTOSA-PROY
INSERT	VENTOSA	82673.089	95723.883	0.6134	VENTOSA-PROY
INSERT	A Buje	83587.462	96048.446	1.5982	0
INSERT	A Buje	83064.7	95352.126	5.7726	0
INSERT	A Buje	83163.171	95531.714	4.7368	0
INSERT	A Codo11.25	82416.336	95421.578	3.8466	0
INSERT	A Codo11.25	82422.088	95427.305	0.7267	0
INSERT	Union	82929.177	95528.896	1.5737	0
INSERT	codo 45	82926.434	95527.53	3.9426	0
INSERT	codo 45	82922.833	95526.524	0.0156	0
INSERT	codo 45	82916.101	95529.783	2.3718	0
INSERT	codo 45	82918.503	95526.237	0.0156	0
INSERT	Union	82929.186	95518.855	1.5737	0
INSERT	A Buje	82893.6	95643.565	1.2015	0
INSERT	A Codo22.5	82885.943	95644.588	5.9617	0
