START
9
(READY 5.5.8)
(BLOCKS 8)
PROBE_BEGIN
(BLOCK_POLY 46F9 HANDLE 46FE LAYER URB-ANDEN ROLE  AREA 367.586 VERTS 537)
(BLOCK_POLY 46F9 HANDLE 4761 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4762 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4763 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4765 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4766 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4767 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4768 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4769 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 476A LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 476B LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 476C LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 476E LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 476F LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4770 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4771 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4772 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4773 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
