ORIGEN	CAPITULO	SUBCAPITULO	CODIGO	NOMBRE	UM	VALOR
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9150	ALQUILER DE DISPENSADOR PLÁSTICO DE TOALLAS TIPO Z_(Según Apéndice Bioseguridad Covid 19_V3)	UN/MES	3734
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9151	ALQUILER DE FUMIGADORA DE ESPALDA. ASPERSOR BOMBA MANUAL 20 LITROS. DESINFECCIÓN INCLUYE MEZCLA AGUA-HIPOCLORITO 20 mml/LITRO._(Según Apéndice Bioseguridad Covid 19_V3)	UN/MES	46222
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9152	ALQUILER DE LAVAMANOS PORTATIL DE PEDAL TIPO MANOS LIBRES._(Según Apéndice Bioseguridad Covid 19_V3)	UN/MES	69196
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9153	PAQUETE ELEMENTOS PARA LIMPIEZA Y DESINFECCIÓN PARA 10 TRABAJADORES EN OBRA (INCLUYE ALCOHOL GLICERINADO, TOALLAS DE PAPEL, JABON LIQUIDO, SUMINISTRO AGUA PARA EL LAVAMANOS). _(Según Apéndice Bioseguridad Covid 19_V3)	UN/MES	442668
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9154	ALQUILER DE DISPENSADOR DE JABÓN LÍQUIDO O ALCOHOL GLICERINADO, CON PEDAL METÁLICO._(Según Apéndice Bioseguridad Covid 19_V3)	UN/MES	6051
Nuevo DTINI	PUENTES	PUENTES PEATONALES	9322	PISO EN POLIPROPILENO DE ALTO IMPACTO e: 25MM PARA TABLERO DE PUENTES PEATONALES TIPO TRANSMILENIO. INCLUYE SUMINISTRO, INSTALACIÓN Y TRANSPORTE	M2	2076848
Nuevo DTINI	PUENTES	PUENTES PEATONALES	9323	REPOSICIÓN DE PISO EN POLIPROPILENO DE ALTO IMPACTO e: 25MM PARA TABLERO DE PUENTES PEATONALES TIPO TRANSMILENIO. INCLUYE SUMINISTRO, INSTALACIÓN, TRANSPORTE A OBRA DE PISO EN POLIPROPILENO  Y RETIRO PISO EXISTENTE EN ALUMINIO. NO INCLUYE TRANSPORTE NI DISPOSICIÓN FINAL DE ESCOMBROS	M2	2872692
Nuevo DTINI	PUENTES	PUENTES PEATONALES	9324	REPOSICIÓN DE PISO EN POLIPROPILENO DE ALTO IMPACTO e: 25MM PARA TABLERO DE PUENTES PEATONALES TIPO TRANSMILENIO. INCLUYE SUMINISTRO, INSTALACIÓN, TRANSPORTE A OBRA DE PISO EN POLIPROPILENO Y RETIRO PISO EXISTENTE EN PANELES PREFABRICADOS EN CONCRETO. NO INCLUYE TRANSPORTE NI DISPOSICIÓN FINAL DE ESCOMBROS	M2	2867366
Nuevo DTINI	PUENTES	PUENTES PEATONALES	9325	PISO EN POLIPROPILENO DE ALTO IMPACTO PARA ESCALERA DE PUENTES PEATONALES, ANCHO 38cm e=2cm. INCLUYE SUMINISTRO, INSTALACIÓN Y TRANSPORTE	ML	1072223
Nuevo DTINI	PUENTES	PUENTES PEATONALES	9326	REPOSICIÓN DE PISO EN POLIPROPILENO DE ALTO IMPACTO PARA ESCALERA DE PUENTES PEATONALES, ANCHO 38cm e=2cm. INCLUYE SUMINISTRO, INSTALACIÓN, SOPORTE PARA ANCLAJE, TRANSPORTE A OBRA DE PISO EN POLIPROPILENO Y RETIRO PISO EXISTENTE EN ALUMINIO.NO INCLUYE TRANSPORTE NI DISPOSICIÓN FINAL DE ESCOMBROS	ML	1592761
Nuevo DTINI	PUENTES	PUENTES PEATONALES	9327	REPOSICIÓN DE PISO EN POLIPROPILENO DE ALTO IMPACTO PARA ESCALERA DE PUENTES PEATONALES, ANCHO 38cm e=2cm. INCLUYE SUMINISTRO, INSTALACIÓN, SOPORTE PARA ANCLAJE, TRANSPORTE A OBRA DE PISO EN POLIPROPILENO Y RETIRO PISO EXISTENTE EN PANELES PREFABRICADOS EN CONCRETO. NO INCLUYE TRANSPORTE NI DISPOSICIÓN FINAL DE ESCOMBROS	ML	1590737
