ORIGEN	GRUPO	CODIGO	NOMBRE	UM	PRECIO
Demanda	CANAL DE DRENAJE	11436	CANAL DE INSPECCION MONOLÍTICO EN CONCRETO POLIMÉRICO DE DRENAJE PD 150V, CLASE D400, COLOR NATURAL, H=27cm, A=20cm, Long=50cm, (Incluye rejilla)	UN	1232778
Demanda	CANAL DE DRENAJE	11437	SUMIDERO PARA CANAL DE DRENAJE MONOLÍTICO EN CONCRETO POLIMÉRICO PD 150V, CLASE D400, COLOR NATURAL, CON REJA DE FUNDICIÓN, H=57,5cm, A=18cm, Long=50cm (Incluye rejilla)	UN	1527965
Demanda	CANAL DE DRENAJE	11438	  CANAL DE DRENAJE MONOLÍTICO EN CONCRETO POLIMÉRICO RD 200V  20.0, CLASE F900, COLOR NATURAL, H=53cm, A=26cm, Long=100cm (Incluye rejilla) Resume estos datos	ML	1537219
Demanda	CANAL DE DRENAJE	11439	CANAL DE INSPECCION DE DRENAJE MONOLÍTICO EN CONCRETO POLIMÉRICO RD 200V 20.0, CLASE F900, COLOR NATURAL, H=53cm, A=26cm, Long=66cm (Incluye rejilla)	UN	2557763
Demanda	ARBOLES-GRAMAS-VEGETACIÓN Y PLANTACIÓN PAISAJÍSTIC	11442	SUMINISTRO DE PENNISETUM (Incluye suministro al sitio de obra de 16 unidades por M2)	M2	99479
Demanda	ARBOLES-GRAMAS-VEGETACIÓN Y PLANTACIÓN PAISAJÍSTIC	11443	SUMINISTRO DE LIRIOPE (Incluye suministro al sitio de obra de 16 unidades por M2)	M2	75990
Demanda	ARBOLES-GRAMAS-VEGETACIÓN Y PLANTACIÓN PAISAJÍSTIC	11444	SUMINISTRO DE CLAVEL CHINO (Incluye suministro al sitio de obra de 16 unidades por M2)	M2	51765
Demanda	PISOS (CONVENCIONALES Y TIPO TRANSMILENIO)	11447	PISO EN PORCELANATO COLOR GRIS OSCURO TIPO BARI PLUS, ACABADO PULIDO, FORMATO 0,60cmx0,60cm LÍNEA CONVENCIONAL.	M2	94600
Demanda	ARBOLES-GRAMAS-VEGETACIÓN Y PLANTACIÓN PAISAJÍSTIC	11448	PINO ROMERON H=1.5 m. (Incluye suministro, tutor con manguera y alambre)	UN	153259
Demanda	DOTACIÓN (EPP) Y SEGURIDAD INDUSTRIAL	11449	CHALECO SENCILLO EN DRIL SIN LOGO DOS BOLSILLOS	UN	44100
Demanda	DOTACIÓN (EPP) Y SEGURIDAD INDUSTRIAL	11450	CHALECO REFLECTIVO EN TELA	UN	29000
Demanda	DOTACIÓN (EPP) Y SEGURIDAD INDUSTRIAL	11451	CARTUCHO RESPIRADOR P-100 VAPORES ORGÁNICOS	UN	69900
Demanda	DOTACIÓN (EPP) Y SEGURIDAD INDUSTRIAL	11452	GUANTE SOLDADOR	PAR	43000
Demanda	DOTACIÓN (EPP) Y SEGURIDAD INDUSTRIAL	11453	DESCENDEDOR ANTICAIDA	PAR	1691900
Demanda	EXÁMENES MÉDICOS	11454	EXÁMEN DE APTITUD PSICOFÍSICA PARA TRABAJO EN ALTURA (Incluye perfíl lipídico, glicemia pre y post.)	UN	100000
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11455	TOMA DE DEFLEXIONES CON EQUIPO DEFLECTOMETRO DE IMPACTO (FWD/HWD) PARA PAVIMENTO CON SUPERFICIE FLEXIBLE. Incluye movilización, carro escolta del equipo, toma de información, procesamiento, cálculo y entrega del cuenco de deflexiones promedio. Norma técnica: INVE-798-13 ASTM D4694-09 (20) INVE-797-13 ASTM D4695-03 (20) ASTM D5858-96 (20)	Pto.3R	40092
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11456	TOMA DE DEFLEXIONES CON EQUIPO DEFLECTOMETRO DE IMPACTO (FWD/HWD) PARA PAVIMENTO CON SUPERFICIE RIGIDA. Incluye movilización, carro escolta del equipo, toma de información, procesamiento, cálculo y entrega del cuenco de deflexiones promedio. Norma técnica: INVE-798-13 ASTM D4694-09 (20) INVE-797-13 ASTM D4695-03 (20) ASTM D5858-96 (20)	Pto.3R	49679
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11457	TOMA DE DEFLEXIONES CON EQUIPO DEFLECTOMETRO DE IMPACTO (LWD) EN ESTRUCTURA DE PAVIMENTO. Incluye movilización, toma de información y entrega de resultados. Norma técnica: ASTM E2583-07 (20)	PUNTO	63623
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11458	MEDICION DE PERFIL LONGITUDINAL EN ESTRUCTURA DE PAVIMENTO CON PERFILOMETRO PIVOTANTE DE ALTA PRECISION Y DETERMINACION DEL INDICE DE RUGOSIDAD INTERNACIONAL -IRI-. Incluye movilización, toma información, procesamiento, cálculo y entrega de resultados. Norma técnica: INVE-814-13 ASTM E1155/E1155M-23 INVE-794-13 INVE-790-13	Km-Car	163030
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11459	MEDICION DE PERFIL LONGITUDINAL EN ESTRUCTURA DE PAVIMENTO CON PERFILOMETRO LASER Y DETERMINACION DEL INDICE DE RUGOSIDAD INTERNACIONAL -IRI-.  Incluye movilización, toma de información, procesamiento, cálculo y entrega de resultados. Tramos continuos de mínimo 500 metros. Norma técnica: ASTM E950/E950M-22 INVE-794-13 ASTM E1926-08 (21) INVE-790-13	Km-Car	96323
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11461	LEVANTAMIENTO DE FALLAS EN ESTRUCTURA DE PAVIMENTO CON SUPERFICIE FLEXIBLE, RIGIDA O ARTICULADA EN ZONA URBANA, CON EQUIPO DE ALTO RENDIMIENTO MEDIANTE CAPTURA DE IMAGENES DE ALTA RESOLUCION O SISTEMA LASER, Y DETERMINACION DEL INDICE DE CONDICION DEL PAVIMENTO-PCI. Incluye movilización, carro escolta del equipo, toma de información, procesamiento, entrega del inventario de fallas y cálculo del valor de PCI. Norma técnica: ASTM D6433-23 (flexible y rígido) ASTM E2840-11(24)(articulado)	Km-Car	245806
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11464	LEVANTAMIENTO DE FALLAS EN ESTRUCTURA DE PAVIMENTO CON SUPERFICIE FLEXIBLE, RIGIDA O ARTICULADA EN ZONA RURAL, CON EQUIPO DE ALTO RENDIMIENTO MEDIANTE CAPTURA DE IMAGENES DE ALTA RESOLUCION O SISTEMA LASER, Y DETERMINACION DEL INDICE DE CONDICION DEL PAVIMENTO -PCI. Incluye movilización, carro escolta del equipo, toma de información, procesamiento, entrega del inventario de fallas y cálculo del valor de PCI. Norma técnica: ASTM D6433-23 (flexible y rígido) ASTM E2840-11(24) (articulado)	Km-Car	356584
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11467	METODO DE PRUEBA ESTANDAR PARA DETERMINAR EL ESPESOR DE LAS CAPAS DE PAVIMENTO MEDIANTE RADAR DE ONDA CORTA (GEORRADAR GPR). EQUIPADO CON UNA O DOS ANTENAS. LA PRIMERA CON FRECUENCIA MINIMA 1000 MHz, Y LAS DEMAS CON FRECUENCIAS HASTA DE 500 MHz. Incluye movilización, carro escolta del equipo, toma de información, procesamiento, cálculo y entrega de resultados. NO INCLUYE APIQUES NI NUCLEOS PARA LA CALIBRACION DEL GEORRADAR. Norma técnica: ASTM D4748-10 (20)	Km-Car	399840
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11470	MEDICION DE PERFIL TRANSVERSAL EN ESTRUCTURA DE PAVIMENTO CON PERFILOMETRO LASER Y DETERMINACION DE LA IRREGULARIDAD SUPERFICIAL (AHUELLAMIENTO). Incluye movilización, toma de información, procesamiento, cálculo y entrega de resultados. Norma técnica: INVE-789-13	Km-Car	114954
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11471	MEDICION DE PERFIL DE MACROTEXTURA EN ESTRUCTURA DE PAVIMENTO CON PERFILOMETRO LASER Y DETERMINACION DE LA PROFUNDIDAD MEDIA DEL PERFIL (MDP). Incluye movilización, toma de información, procesamiento, cálculo y entrega de resultados. Norma técnica: ASTM E1845-23	Km-Car	155295
Demanda	ENSAYO CAMPO - DIAGNOSTICO DE PAVIMENTOS	11472	MEDICION DE PERFIL LONGITUDINAL, TRANSVERSAL Y DE MACROTEXTURA  EN ESTRUCTURA DE PAVIMENTO CON PERFILOMETRO LASER Y DETERMINACION DEL INDICE DE RUGOSIDAD INTERNACIONAL -IRI-, IRREGULARIDAD SUPERFICIAL (AHUELLAMIENTO). Incluye movilización, toma de información, procesamiento, cálculo y entrega de resultados. Tramos continuos de mínimo 500 metros. Norma técnica: ASTM E950/E950M-22 INVE-794-13 ASTM E1926-08 (21) ASTM E1845-23	Km-Car	165595
Demanda	ENSAYO CAMPO - SOLDADURAS	11477	GUIA ESTANDAR PARA EL ENSAYO RADIOGRAFICO USANDO UNA PELICULA RADIOGRAFICA INDUSTRIAL. Norma técnica: ASTM E94/E94M-22	DIA	1383280
Demanda	ENSAYO CAMPO -RECUBRIMIENTO ESTRUCTURA METÁLICA	11481	EVALUACION DEL GRADO DE LIMPIEZA CON HERRAMIENTAS MANUALES. Norma técnica: SSPC-SP2-18.	DIA	1029988
